variable_name,label,code,frequency,weighted_frequency,percent
AHR_110,Refusal,8,0,0,0
AHR_110,Not stated,9,556,831603,2.7
AHR_120,Y es,1,10911,15950278,51.9
AHR_120,No,2,8631,13749802,44.7
AHR_120,Valid skip,6,0,0,0
AHR_120,Don't know,7,0,0,0
AHR_120,Refusal,8,0,0,0
AHR_120,Not stated,9,716,1055105,3.4
AHR_130,Y es,1,1582,2644961,8.6
AHR_130,No,2,18089,27231559,88.5
AHR_130,Valid skip,6,0,0,0
AHR_130,Don't know,7,0,0,0
AHR_130,Refusal,8,0,0,0
AHR_130,Not stated,9,587,878665,2.9
AHR_140,Y es,1,4559,5356558,17.4
AHR_140,No,2,15185,24563263,79.9
AHR_140,Valid skip,6,0,0,0
AHR_140,Don't know,7,0,0,0
AHR_140,Refusal,8,0,0,0
AHR_140,Not stated,9,514,835363,2.7
AHR_150,Y es,1,8780,13205579,42.9
AHR_150,No,2,10986,16782196,54.6
AHR_150,Valid skip,6,0,0,0
AHR_150,Don't know,7,0,0,0
AHR_150,Refusal,8,0,0,0
AHR_150,Not stated,9,492,767410,2.5
AHR_160,Y es,1,2737,3561796,11.6
AHR_160,No,2,17028,26445828,86.0
AHR_160,Valid skip,6,0,0,0
AHR_160,Don't know,7,0,0,0
AHR_160,Refusal,8,0,0,0
AHR_160,Not stated,9,493,747561,2.4
AHR_200,Y es,1,5364,6996221,22.7
AHR_200,No,2,14623,23335875,75.9
AHR_200,Valid skip,6,0,0,0
AHR_200,Don't know,7,0,0,0
AHR_200,Refusal,8,0,0,0
AHR_200,Not stated,9,271,423089,1.4
SRH_110,Excellent,1,3374,6195365,20.1
SRH_110,Very good,2,6719,10696871,34.8
SRH_110,Good,3,6506,9512308,30.9
SRH_110,Fair,4,2592,3137651,10.2
SRH_110,Poor,5,817,826788,2.7
SRH_110,Valid skip,6,0,0,0
SRH_110,Don't know,7,0,0,0
SRH_110,Refusal,8,0,0,0
SRH_110,Not stated,9,250,386203,1.3
SRH_115,Excellent,1,4946,8223086,26.7
SRH_115,Very good,2,6729,10174708,33.1
SRH_115,Good,3,5821,8472280,27.5
SRH_115,Fair,4,1970,2785844,9.1
SRH_115,Poor,5,511,654780,2.1
SRH_115,Valid skip,6,0,0,0
SRH_115,Don't know,7,0,0,0
SRH_115,Refusal,8,0,0,0
SRH_115,Not stated,9,281,444486,1.4
HEH_100,Excellent,1,2381,3702352,12.0
HEH_100,Very good,2,6350,9613851,31.3
HEH_100,Good,3,7770,11934816,38.8
HEH_100,Fair,4,2604,3904169,12.7
HEH_100,Poor,5,857,1146894,3.7
HEH_100,Valid skip,6,0,0,0
HEH_100,Don't know,7,0,0,0
HEH_100,Refusal,8,0,0,0
HEH_100,Not stated,9,296,453102,1.5
PHS_10C,None,00,3274,4552625,14.8
PHS_10C,Number of times,01 - 10,15788,24353947,79.2
PHS_10C,11 or more,11,635,1020280,3.3
PHS_10C,Valid skip,96,0,0,0
PHS_10C,Don't know,97,0,0,0
PHS_10C,Refusal,98,0,0,0
PHS_10C,Not stated,99,561,828332,2.7
PHS_20,Less than 15 minutes,1,935,1575299,5.1
PHS_20,16 to 30 minutes,2,4183,6554499,21.3
PHS_20,31 to 60 minutes,3,5815,8774502,28.5
PHS_20,More than 1 hour,4,5161,8154839,26.5
PHS_20,Valid skip,6,3770,5295389,17.2
PHS_20,Don't know,7,0,0,0
PHS_20,Refusal,8,0,0,0
PHS_20,Not stated,9,394,400657,1.3
LSR_110,0 - Very dissatisfied,00,187,228702,0.7
LSR_110,1,01,112,143474,0.5
LSR_110,2,02,230,314223,1.0
LSR_110,3,03,408,558218,1.8
LSR_110,4,04,526,772388,2.5
LSR_110,5,05,1767,2467291,8.0
LSR_110,6,06,1576,2410415,7.8
LSR_110,7,07,3517,5622943,18.3
LSR_110,8,08,5319,8122067,26.4
LSR_110,9,09,2563,3951366,12.8
LSR_110,10 - Very satisfied,10,3308,5006672,16.3
LSR_110,Valid skip,96,376,595685,1.9
LSR_110,Don't know,97,0,0,0
LSR_110,Refusal,98,0,0,0
LSR_110,Not stated,99,369,561741,1.8
SRS_10,Not at all stressful,1,2024,2883668,9.4
SRS_10,Not very stressful,2,5183,7638520,24.8
SRS_10,A bit stressful,3,8599,13148909,42.8
SRS_10,Quite a bit stressful,4,3524,5746505,18.7
SRS_10,Extremely stressful,5,594,845293,2.7
SRS_10,Valid skip,6,0,0,0
SRS_10,Don't know,7,0,0,0
SRS_10,Refusal,8,0,0,0
SRS_10,Not stated,9,334,492290,1.6
SLP_110,Y es,1,7895,10619937,34.5
SLP_110,No,2,12051,19675020,64.0
SLP_110,Valid skip,6,0,0,0
SLP_110,Don't know,7,0,0,0
SLP_110,Refusal,8,0,0,0
SLP_110,Not stated,9,312,460227,1.5
SLP_120,Y es,1,3180,3717367,12.1
SLP_120,No,2,16764,26525672,86.2
SLP_120,Valid skip,6,0,0,0
SLP_120,Don't know,7,0,0,0
SLP_120,Refusal,8,0,0,0
SLP_120,Not stated,9,314,512146,1.7
FLG_310,Y es,1,1607,2091789,6.8
FLG_310,More or less,2,3098,4640153,15.1
FLG_310,No,3,14654,22634751,73.6
FLG_310,Valid skip,6,376,595685,1.9
FLG_310,Don't know,7,0,0,0
FLG_310,Refusal,8,0,0,0
FLG_310,Not stated,9,523,792807,2.6
FLG_320,Y es,1,12158,19303571,62.8
FLG_320,More or less,2,4759,6990090,22.7
FLG_320,No,3,2503,3150185,10.2
FLG_320,Valid skip,6,376,595685,1.9
FLG_320,Don't know,7,0,0,0
FLG_320,Refusal,8,0,0,0
FLG_320,Not stated,9,462,715654,2.3
FLG_330,Y es,1,11039,17464915,56.8
FLG_330,More or less,2,5166,7790666,25.3
FLG_330,No,3,3211,4171139,13.6
FLG_330,Valid skip,6,376,595685,1.9
FLG_330,Don't know,7,0,0,0
FLG_330,Refusal,8,0,0,0
FLG_330,Not stated,9,466,732780,2.4
FLG_340,Y es,1,13759,21227942,69.0
FLG_340,More or less,2,3968,5875334,19.1
FLG_340,No,3,1693,2307462,7.5
FLG_340,Valid skip,6,376,595685,1.9
FLG_340,Don't know,7,0,0,0
FLG_340,Refusal,8,0,0,0
FLG_340,Not stated,9,462,748762,2.4
FLG_350,Y es,1,3671,4912849,16.0
FLG_350,More or less,2,3911,6331760,20.6
FLG_350,No,3,11805,18135282,59.0
FLG_350,Valid skip,6,376,595685,1.9
FLG_350,Don't know,7,0,0,0
FLG_350,Refusal,8,0,0,0
FLG_350,Not stated,9,495,779608,2.5
FLG_360,Y es,1,917,1280823,4.2
FLG_360,More or less,2,1766,3060153,10.0
FLG_360,No,3,16686,25026842,81.4
FLG_360,Valid skip,6,376,595685,1.9
FLG_360,Don't know,7,0,0,0
FLG_360,Refusal,8,0,0,0
FLG_360,Not stated,9,513,791682,2.6
EMO_10,happy and interested in life,1,12292,18540371,60.3
EMO_10,somewhat happy,2,5880,9180634,29.9
EMO_10,somewhat unhappy,3,988,1412473,4.6
EMO_10,unhappy with little interest in life,4,281,337880,1.1
EMO_10,so unhappy that life is not worthwhile,5,63,102234,0.3
EMO_10,Valid skip,6,376,595685,1.9
EMO_10,Don't know,7,0,0,0
EMO_10,Refusal,8,0,0,0
EMO_10,Not stated,9,378,585907,1.9
DDIS_FL,"Y es, has at least one disability",1,8295,10717568,34.8
DDIS_FL,"No, does not have a disability",2,11963,20037616,65.2
DDIS_FL,Valid skip,6,0,0,0
DDIS_FL,Don't know,7,0,0,0
DDIS_FL,Refusal,8,0,0,0
DDIS_FL,Not stated,9,0,0,0
DVIS_FL,"Y es, has a seeing disability",1,1120,1499578,4.9
DVIS_FL,"No, does not have a seeing disability",2,18737,28642164,93.1
DVIS_FL,Valid skip,6,0,0,0
DVIS_FL,Don't know,7,0,0,0
DVIS_FL,Refusal,8,0,0,0
DVIS_FL,Not stated,9,401,613443,2.0
DHEAR_FL,"Y es, has a hearing disability",1,1274,1359895,4.4
DHEAR_FL,"No, does not have a hearing disability",2,18543,28739757,93.4
DHEAR_FL,Valid skip,6,0,0,0
DHEAR_FL,Don't know,7,0,0,0
DHEAR_FL,Refusal,8,0,0,0
DHEAR_FL,Not stated,9,441,655532,2.1
DMOB_FL,"Y es, has a mobility disability",1,2596,2501623,8.1
DMOB_FL,"No, does not have a mobility disability",2,17200,27601518,89.7
DMOB_FL,Valid skip,6,0,0,0
DMOB_FL,Don't know,7,0,0,0
DMOB_FL,Refusal,8,0,0,0
DMOB_FL,Not stated,9,462,652043,2.1
DFLEX_FL,"Y es, has a flexibility disability",1,2459,2416470,7.9
DFLEX_FL,"No, does not have a flexibility disability",2,17372,27719540,90.1
DFLEX_FL,Valid skip,6,0,0,0
DFLEX_FL,Don't know,7,0,0,0
DFLEX_FL,Refusal,8,0,0,0
DFLEX_FL,Not stated,9,427,619175,2.0
DDEX_FL,"Y es, has a dexterity disability",1,1223,1151112,3.7
DDEX_FL,"No, does not have a dexterity disability",2,18614,28967829,94.2
DDEX_FL,Valid skip,6,0,0,0
DDEX_FL,Don't know,7,0,0,0
DDEX_FL,Refusal,8,0,0,0
DDEX_FL,Not stated,9,421,636243,2.1
DPAIN_FL,"Y es, has a pain disability",1,5479,6638603,21.6
DPAIN_FL,"No, does not have a pain disability",2,13954,22696224,73.8
DPAIN_FL,Valid skip,6,0,0,0
DPAIN_FL,Don't know,7,0,0,0
DPAIN_FL,Refusal,8,0,0,0
DPAIN_FL,Not stated,9,825,1420357,4.6
DLRN_FL,"Y es, has a learning disability",1,764,1235025,4.0
DLRN_FL,"No, does not have a learning disability",2,18443,27834158,90.5
DLRN_FL,Valid skip,6,0,0,0
DLRN_FL,Don't know,7,0,0,0
DLRN_FL,Refusal,8,0,0,0
DLRN_FL,Not stated,9,1051,1686002,5.5
DDEV_FL,"Y es, has a developmental disability",1,205,391412,1.3
DDEV_FL,disability,2,19526,29533530,96.0
DDEV_FL,Valid skip,6,0,0,0
DDEV_FL,Don't know,7,0,0,0
DDEV_FL,Refusal,8,0,0,0
DDEV_FL,Not stated,9,527,830243,2.7
DMEM_FL,"Y es, has a memory disability",1,808,995520,3.2
DMEM_FL,"No, does not have a memory disability",2,18807,28702243,93.3
DMEM_FL,Valid skip,6,0,0,0
DMEM_FL,Don't know,7,0,0,0
DMEM_FL,Refusal,8,0,0,0
DMEM_FL,Not stated,9,643,1057421,3.4
DMENT_FL,"Y es, has a mental health disability",1,2323,3260153,10.6
DMENT_FL,disability,2,17287,26381045,85.8
DMENT_FL,Valid skip,6,0,0,0
DMENT_FL,Don't know,7,0,0,0
DMENT_FL,Refusal,8,0,0,0
DMENT_FL,Not stated,9,648,1113986,3.6
DUNK_FL,"Y es, has an unknown disability",1,397,435469,1.4
DUNK_FL,"No, does not have an unknown disability",2,19278,29361827,95.5
DUNK_FL,Valid skip,6,0,0,0
DUNK_FL,Don't know,7,0,0,0
DUNK_FL,Refusal,8,0,0,0
DUNK_FL,Not stated,9,583,957888,3.1
DTYPER,Does not have a disability,0,11963,20037616,65.2
DTYPER,Has one disability type,1,3786,5560982,18.1
DTYPER,Has two or three disability types,2,2916,3566161,11.6
DTYPER,Has more than three disability types,3,1593,1590425,5.2
DTYPER,Valid skip,6,0,0,0
DTYPER,Don't know,7,0,0,0
DTYPER,Refusal,8,0,0,0
DTYPER,Not stated,9,0,0,0
CHC_100,Y es,1,3220,3712816,12.1
CHC_100,No,2,16620,26445670,86.0
CHC_100,Valid skip,6,0,0,0
CHC_100,Don't know,7,0,0,0
CHC_100,Refusal,8,0,0,0
CHC_100,Not stated,9,418,596698,1.9
CHC_110A,Y es,1,1420,1425598,4.6
CHC_110A,No,2,1800,2287218,7.4
CHC_110A,Valid skip,6,17038,27042369,87.9
CHC_110A,Don't know,7,0,0,0
CHC_110A,Refusal,8,0,0,0
CHC_110A,Not stated,9,0,0,0
CHC_110B,Y es,1,243,241879,0.8
CHC_110B,No,2,2977,3470937,11.3
CHC_110B,Valid skip,6,17038,27042369,87.9
CHC_110B,Don't know,7,0,0,0
CHC_110B,Refusal,8,0,0,0
CHC_110B,Not stated,9,0,0,0
CHC_110C,Y es,1,628,681392,2.2
CHC_110C,No,2,2592,3031424,9.9
CHC_110C,Valid skip,6,17038,27042369,87.9
CHC_110C,Don't know,7,0,0,0
CHC_110C,Refusal,8,0,0,0
CHC_110C,Not stated,9,0,0,0
CHC_110D,Y es,1,80,81477,0.3
CHC_110D,No,2,3140,3631339,11.8
CHC_110D,Valid skip,6,17038,27042369,87.9
CHC_110D,Don't know,7,0,0,0
CHC_110D,Refusal,8,0,0,0
CHC_110D,Not stated,9,0,0,0
CHC_110E,Y es,1,181,232200,0.8
CHC_110E,No,2,3039,3480616,11.3
CHC_110E,Valid skip,6,17038,27042369,87.9
CHC_110E,Don't know,7,0,0,0
CHC_110E,Refusal,8,0,0,0
CHC_110E,Not stated,9,0,0,0
CHC_110F,Y es,1,158,144565,0.5
CHC_110F,No,2,3062,3568251,11.6
CHC_110F,Valid skip,6,17038,27042369,87.9
CHC_110F,Don't know,7,0,0,0
CHC_110F,Refusal,8,0,0,0
CHC_110F,Not stated,9,0,0,0
CHC_110G,Y es,1,496,548442,1.8
CHC_110G,No,2,2724,3164374,10.3
CHC_110G,Valid skip,6,17038,27042369,87.9
CHC_110G,Don't know,7,0,0,0
CHC_110G,Refusal,8,0,0,0
CHC_110G,Not stated,9,0,0,0
CHC_110H,Y es,1,160,197274,0.6
CHC_110H,No,2,3060,3515542,11.4
CHC_110H,Valid skip,6,17038,27042369,87.9
CHC_110H,Don't know,7,0,0,0
CHC_110H,Refusal,8,0,0,0
CHC_110H,Not stated,9,0,0,0
CHC_110I,Y es,1,821,943552,3.1
CHC_110I,No,2,2399,2769264,9.0
CHC_110I,Valid skip,6,17038,27042369,87.9
CHC_110I,Don't know,7,0,0,0
CHC_110I,Refusal,8,0,0,0
CHC_110I,Not stated,9,0,0,0
CHC_110J,Y es,1,148,146229,0.5
CHC_110J,No,2,3072,3566586,11.6
CHC_110J,Valid skip,6,17038,27042369,87.9
CHC_110J,Don't know,7,0,0,0
CHC_110J,Refusal,8,0,0,0
CHC_110J,Not stated,9,0,0,0
CHC_110K,Y es,1,313,365878,1.2
CHC_110K,No,2,2907,3346938,10.9
CHC_110K,Valid skip,6,17038,27042369,87.9
CHC_110K,Don't know,7,0,0,0
CHC_110K,Refusal,8,0,0,0
CHC_110K,Not stated,9,0,0,0
CHC_110L,Y es,1,48,53410,0.2
CHC_110L,No,2,3172,3659406,11.9
CHC_110L,Valid skip,6,17038,27042369,87.9
CHC_110L,Don't know,7,0,0,0
CHC_110L,Refusal,8,0,0,0
CHC_110L,Not stated,9,0,0,0
CHC_110M,Y es,1,97,125854,0.4
CHC_110M,No,2,3123,3586962,11.7
CHC_110M,Valid skip,6,17038,27042369,87.9
CHC_110M,Don't know,7,0,0,0
CHC_110M,Refusal,8,0,0,0
CHC_110M,Not stated,9,0,0,0
CHC_110N,Y es,1,175,188235,0.6
CHC_110N,No,2,3045,3524580,11.5
CHC_110N,Valid skip,6,17038,27042369,87.9
CHC_110N,Don't know,7,0,0,0
CHC_110N,Refusal,8,0,0,0
CHC_110N,Not stated,9,0,0,0
CHC_110O,Y es,1,228,245183,0.8
CHC_110O,No,2,2992,3467633,11.3
CHC_110O,Valid skip,6,17038,27042369,87.9
CHC_110O,Don't know,7,0,0,0
CHC_110O,Refusal,8,0,0,0
CHC_110O,Not stated,9,0,0,0
CHC_110P,Y es,1,161,156783,0.5
CHC_110P,No,2,3059,3556033,11.6
CHC_110P,Valid skip,6,17038,27042369,87.9
CHC_110P,Don't know,7,0,0,0
CHC_110P,Refusal,8,0,0,0
CHC_110P,Not stated,9,0,0,0
CHC_110Q,Y es,1,15,17920,0.1
CHC_110Q,No,2,3205,3694896,12.0
CHC_110Q,Valid skip,6,17038,27042369,87.9
CHC_110Q,Don't know,7,0,0,0
CHC_110Q,Refusal,8,0,0,0
CHC_110Q,Not stated,9,0,0,0
CHC_110R,Y es,1,234,255422,0.8
CHC_110R,No,2,2986,3457393,11.2
CHC_110R,Valid skip,6,17038,27042369,87.9
CHC_110R,Don't know,7,0,0,0
CHC_110R,Refusal,8,0,0,0
CHC_110R,Not stated,9,0,0,0
CHC_110S,Y es,1,323,318991,1.0
CHC_110S,No,2,2897,3393825,11.0
CHC_110S,Valid skip,6,17038,27042369,87.9
CHC_110S,Don't know,7,0,0,0
CHC_110S,Refusal,8,0,0,0
CHC_110S,Not stated,9,0,0,0
CHC_110T,Y es,1,508,572555,1.9
CHC_110T,No,2,2712,3140261,10.2
CHC_110T,Valid skip,6,17038,27042369,87.9
CHC_110T,Don't know,7,0,0,0
CHC_110T,Refusal,8,0,0,0
CHC_110T,Not stated,9,0,0,0
CHC_110U,Y es,1,58,63417,0.2
CHC_110U,No,2,3162,3649398,11.9
CHC_110U,Valid skip,6,17038,27042369,87.9
CHC_110U,Don't know,7,0,0,0
CHC_110U,Refusal,8,0,0,0
CHC_110U,Not stated,9,0,0,0
CHC_110V,Y es,1,115,110696,0.4
CHC_110V,No,2,3105,3602120,11.7
CHC_110V,Valid skip,6,17038,27042369,87.9
CHC_110V,Don't know,7,0,0,0
CHC_110V,Refusal,8,0,0,0
CHC_110V,Not stated,9,0,0,0
CHC_110Y,Y es,1,21,24147,0.1
CHC_110Y,No,2,3199,3688669,12.0
CHC_110Y,Valid skip,6,17038,27042369,87.9
CHC_110Y,Don't know,7,0,0,0
CHC_110Y,Refusal,8,0,0,0
CHC_110Y,Not stated,9,0,0,0
CHC110AB,Y es,1,70,77369,0.3
CHC110AB,No,2,3150,3635446,11.8
CHC110AB,Valid skip,6,17038,27042369,87.9
CHC110AB,Don't know,7,0,0,0
CHC110AB,Refusal,8,0,0,0
CHC110AB,Not stated,9,0,0,0
CHC110AC,Y es,1,72,95699,0.3
CHC110AC,No,2,3148,3617117,11.8
CHC110AC,Valid skip,6,17038,27042369,87.9
CHC110AC,Don't know,7,0,0,0
CHC110AC,Refusal,8,0,0,0
CHC110AC,Not stated,9,0,0,0
DVCHC110,One condition,1,1510,1854379,6.0
DVCHC110,Two conditions,2,776,922229,3.0
DVCHC110,Three conditions,3,427,430619,1.4
DVCHC110,Four or more conditions,4,481,464538,1.5
DVCHC110,Valid skip,6,17038,27042369,87.9
DVCHC110,Don't know,7,0,0,0
DVCHC110,Refusal,8,0,0,0
DVCHC110,Not stated,9,26,41051,0.1
BRTHCAN,Born in Canada,1,15899,21912139,71.2
BRTHCAN,Born outside Canada,2,3857,8130834,26.4
BRTHCAN,Uncodable,5,3,4871,0.0
BRTHCAN,Valid skip,6,0,0,0
BRTHCAN,Don't know,7,0,0,0
BRTHCAN,Refusal,8,0,0,0
BRTHCAN,Not stated,9,499,707340,2.3
BRTHPRVC,Newfoundland and Labrador,10,1079,571711,1.9
BRTHPRVC,Prince Edward Island,11,453,123920,0.4
BRTHPRVC,Nova Scotia,12,1180,781725,2.5
BRTHPRVC,New Brunswick,13,1181,683723,2.2
BRTHPRVC,Quebec,24,3089,6112687,19.9
BRTHPRVC,Ontario,35,3813,7408945,24.1
BRTHPRVC,Manitoba,46,1081,968743,3.1
BRTHPRVC,Saskatchewan,47,1397,1079635,3.5
BRTHPRVC,Alberta,48,1200,1863389,6.1
BRTHPRVC,British Columbia,59,1267,2095333,6.8
BRTHPRVC,Yukon/Northwest Territories/Nunavut,64,24,31796,0.1
BRTHPRVC,Valid skip,96,4358,8841890,28.7
BRTHPRVC,Don't know,97,0,0,0
BRTHPRVC,Refusal,98,0,0,0
BRTHPRVC,Not stated,99,136,191689,0.6
BRTHMACR,Americas,01,622,1153247,3.7
BRTHMACR,Europe,02,1320,1938615,6.3
BRTHMACR,Africa,03,263,732612,2.4
BRTHMACR,Asia,04,1615,4258439,13.8
BRTHMACR,Oceania and other,05,36,48904,0.2
BRTHMACR,Uncodable,95,5,6053,0.0
BRTHMACR,Valid skip,96,15898,21909974,71.2
BRTHMACR,Don't know,97,0,0,0
BRTHMACR,Refusal,98,0,0,0
BRTHMACR,Not stated,99,499,707340,2.3
BRTHSUB,North America,01,235,291519,0.9
BRTHSUB,Central America,02,70,152877,0.5
BRTHSUB,Caribbean and Bermuda,03,194,386046,1.3
BRTHSUB,South America,04,162,356396,1.2
BRTHSUB,Western Europe,05,340,438970,1.4
BRTHSUB,Eastern Europe,06,247,428539,1.4
BRTHSUB,Northern Europe,07,464,551137,1.8
BRTHSUB,Southern Europe,08,330,552871,1.8
BRTHSUB,Western Africa,09,57,208347,0.7
BRTHSUB,Eastern Africa,10,71,167285,0.5
BRTHSUB,Northern Africa,11,83,234944,0.8
BRTHSUB,Central Africa,12,23,91698,0.3
BRTHSUB,Southern Africa,13,29,41816,0.1
BRTHSUB,West Central Asia and Middle East,14,283,788497,2.6
BRTHSUB,Eastern Asia,15,563,1328886,4.3
BRTHSUB,Southeast Asia,16,363,851325,2.8
BRTHSUB,Southern Asia,17,407,1251514,4.1
BRTHSUB,Oceania and other,18,37,52804,0.2
BRTHSUB,Uncodable,95,18,37705,0.1
BRTHSUB,Valid skip,96,15900,21913294,71.3
BRTHSUB,Don't know,97,0,0,0
BRTHSUB,Refusal,98,0,0,0
BRTHSUB,Not stated,99,382,628713,2.0
YRARRI,Prior to 1946,01,32,34425,0.1
YRARRI,1946 - 1959,02,432,451757,1.5
YRARRI,1960 - 1964,03,147,174923,0.6
YRARRI,1965 - 1969,04,328,427774,1.4
YRARRI,1970 - 1974,05,308,449004,1.5
YRARRI,1975 - 1979,06,238,335877,1.1
YRARRI,1980 - 1984,07,204,334823,1.1
YRARRI,1985 - 1989,08,278,546448,1.8
YRARRI,1990 - 1994,09,321,666049,2.2
YRARRI,1995 - 1999,10,308,780300,2.5
YRARRI,2000 - 2004,11,389,1148389,3.7
YRARRI,2005 - 2009,12,385,1060577,3.4
YRARRI,2010 - 2014,13,424,1266104,4.1
YRARRI,2015 - 2018,14,180,542451,1.8
YRARRI,Valid skip,96,15900,21913294,71.3
YRARRI,Don't know,97,0,0,0
YRARRI,Refusal,98,0,0,0
YRARRI,Not stated,99,384,622989,2.0
BPR_16,Y es,1,3525,7373127,24.0
BPR_16,No,2,385,861223,2.8
BPR_16,Valid skip,6,15899,21912139,71.2
BPR_16,Don't know,7,0,0,0
BPR_16,Refusal,8,0,0,0
BPR_16,Not stated,9,449,608695,2.0
YRLNDIMM,Arrived before 1946,01,17,13943,0.0
YRLNDIMM,Arrived between 1946 - 1955,02,173,183555,0.6
YRLNDIMM,Arrived between 1956 - 1960,03,184,193751,0.6
YRLNDIMM,Arrived between 1961 - 1965,04,132,159396,0.5
YRLNDIMM,Arrived between 1966- 1970,05,278,370392,1.2
YRLNDIMM,Arrived between 1971 - 1975,06,308,435494,1.4
YRLNDIMM,Arrived between 1976 - 1980,07,222,348716,1.1
YRLNDIMM,Arrived between 1981 - 1985,08,164,274228,0.9
YRLNDIMM,Arrived between 1986 - 1990,09,269,526106,1.7
YRLNDIMM,Arrived between 1991 - 1995,10,276,556954,1.8
YRLNDIMM,Arrived between 1996 - 2000,11,314,837411,2.7
YRLNDIMM,Arrived between 2001 - 2005,12,328,985579,3.2
YRLNDIMM,Arrived between 2006 - 2010,13,348,949819,3.1
YRLNDIMM,Arrived between 2011 - 2015,14,364,990279,3.2
YRLNDIMM,Arrived between 2016 - 2018,15,134,399914,1.3
YRLNDIMM,Valid skip,96,16634,23319013,75.8
YRLNDIMM,Don't know,97,0,0,0
YRLNDIMM,Refusal,98,0,0,0
YRLNDIMM,Not stated,99,113,210634,0.7
AGARRGRC,0 to 9 years,01,740,1550459,5.0
AGARRGRC,10 to 19 years,02,730,1733115,5.6
AGARRGRC,20 to 29 years,03,1191,2293985,7.5
AGARRGRC,30 to 39 years,04,825,1644122,5.3
AGARRGRC,40 to 49 years,05,327,691867,2.2
AGARRGRC,50 years and older,06,146,277335,0.9
AGARRGRC,Valid skip,96,15900,21913294,71.3
AGARRGRC,Don't know,97,0,0,0
AGARRGRC,Refusal,98,0,0,0
AGARRGRC,Not stated,99,399,651007,2.1
ALNDIMGC,0 to 9 years,01,501,1058366,3.4
ALNDIMGC,10 to 19 years,02,580,1388157,4.5
ALNDIMGC,20 to 29 years,03,1061,2054595,6.7
ALNDIMGC,30 to 39 years,04,863,1689682,5.5
ALNDIMGC,40 to 49 years,05,346,711467,2.3
ALNDIMGC,50 years and older,06,154,299438,1.0
ALNDIMGC,Valid skip,96,16634,23319013,75.8
ALNDIMGC,Don't know,97,0,0,0
ALNDIMGC,Refusal,98,0,0,0
ALNDIMGC,Not stated,99,119,234467,0.8
AMB_01_1,Y es,1,19116,29158274,94.8
AMB_01_1,No,2,671,872421,2.8
AMB_01_1,Valid skip,6,0,0,0
AMB_01_1,Don't know,7,0,0,0
AMB_01_1,Refusal,8,0,0,0
AMB_01_1,Not stated,9,471,724489,2.4
AMB_01_2,Y es,1,326,391102,1.3
AMB_01_2,No,2,19461,29639593,96.4
AMB_01_2,Valid skip,6,0,0,0
AMB_01_2,Don't know,7,0,0,0
AMB_01_2,Refusal,8,0,0,0
AMB_01_2,Not stated,9,471,724489,2.4
AMB_01_3,Y es,1,334,465233,1.5
AMB_01_3,No,2,19453,29565462,96.1
AMB_01_3,Valid skip,6,0,0,0
AMB_01_3,Don't know,7,0,0,0
AMB_01_3,Refusal,8,0,0,0
AMB_01_3,Not stated,9,471,724489,2.4
AMB_01_4,Y es,1,18,31414,0.1
AMB_01_4,No,2,19769,29999281,97.5
AMB_01_4,Valid skip,6,0,0,0
AMB_01_4,Don't know,7,0,0,0
AMB_01_4,Refusal,8,0,0,0
AMB_01_4,Not stated,9,471,724489,2.4
PG_01A,Y es,1,16622,22259035,72.4
PG_01A,No,2,2537,6936785,22.6
PG_01A,Valid skip,6,671,872421,2.8
PG_01A,Don't know,7,0,0,0
PG_01A,Refusal,8,0,0,0
PG_01A,Not stated,9,428,686944,2.2
PG_01B,Y es,1,553,1677019,5.5
PG_01B,No,2,18606,27518801,89.5
PG_01B,Valid skip,6,671,872421,2.8
PG_01B,Don't know,7,0,0,0
PG_01B,Refusal,8,0,0,0
PG_01B,Not stated,9,428,686944,2.2
PG_01C,Y es,1,704,1743663,5.7
PG_01C,No,2,18455,27452157,89.3
PG_01C,Valid skip,6,671,872421,2.8
PG_01C,Don't know,7,0,0,0
PG_01C,Refusal,8,0,0,0
PG_01C,Not stated,9,428,686944,2.2
PG_01D,Y es,1,407,1051187,3.4
PG_01D,No,2,18752,28144633,91.5
PG_01D,Valid skip,6,671,872421,2.8
PG_01D,Don't know,7,0,0,0
PG_01D,Refusal,8,0,0,0
PG_01D,Not stated,9,428,686944,2.2
PG_01E,Y es,1,260,709964,2.3
PG_01E,No,2,18899,28485856,92.6
PG_01E,Valid skip,6,671,872421,2.8
PG_01E,Don't know,7,0,0,0
PG_01E,Refusal,8,0,0,0
PG_01E,Not stated,9,428,686944,2.2
PG_01F,Y es,1,211,507983,1.7
PG_01F,No,2,18948,28687837,93.3
PG_01F,Valid skip,6,671,872421,2.8
PG_01F,Don't know,7,0,0,0
PG_01F,Refusal,8,0,0,0
PG_01F,Not stated,9,428,686944,2.2
PG_01G,Y es,1,181,635941,2.1
PG_01G,No,2,18978,28559879,92.9
PG_01G,Valid skip,6,671,872421,2.8
PG_01G,Don't know,7,0,0,0
PG_01G,Refusal,8,0,0,0
PG_01G,Not stated,9,428,686944,2.2
PG_01H,Y es,1,160,464987,1.5
PG_01H,No,2,18999,28730833,93.4
PG_01H,Valid skip,6,671,872421,2.8
PG_01H,Don't know,7,0,0,0
PG_01H,Refusal,8,0,0,0
PG_01H,Not stated,9,428,686944,2.2
PG_01I,Y es,1,121,328349,1.1
PG_01I,No,2,19038,28867471,93.9
PG_01I,Valid skip,6,671,872421,2.8
