split,rows,roc_auc_weighted,roc_auc_unweighted,pr_auc_weighted,pr_auc_unweighted,accuracy_weighted,accuracy_unweighted,precision_weighted,precision_unweighted,recall_weighted,recall_unweighted,specificity_weighted,specificity_unweighted,f1_weighted,f1_unweighted,prevalence_weighted,prevalence_unweighted,tp_weighted,fp_weighted,tn_weighted,fn_weighted
train_selection_model,3351,0.7805816115069957,0.7419657106879385,0.8714481695254533,0.8536659125534698,0.754973002335523,0.7373918233363175,0.7640310955861189,0.7511203033436746,0.9305850407078314,0.9323919554985024,0.3700803249123762,0.2879684418145957,0.839123259787876,0.8319969453990073,0.6866894543017644,0.6974037600716204,2180943.9966,673578.5604000005,395730.0944000001,162682.7556000001
validation_selection_model,1118,0.7523604523660904,0.7380234410559854,0.8593291017786363,0.8568734709725717,0.7571064674957348,0.7468694096601073,0.7654148504236633,0.7559217301750772,0.9328959068386276,0.941025641025641,0.369384047727081,0.2988165680473373,0.8408972008689408,0.8383780696744717,0.6880466018584792,0.6976744186046512,740185.5440999992,226852.84519999995,132879.32520000002,53242.25279999999
train_val_final_model,4469,0.7887434987970958,0.7505161141516365,0.8780846838268683,0.8617127476348225,0.7473186882617674,0.7357350637726561,0.8017708463154025,0.7857142857142857,0.8398594356148106,0.8540263073468078,0.5441716771045818,0.4630177514792899,0.8203732812325017,0.8184473481936972,0.6870321997119744,0.6974714701275453,2634684.8631000025,651397.2827000009,777643.5425000002,502369.6860000003
test_final_model,1118,0.714805239870492,0.7251213776361705,0.8428991934955521,0.8436159805732133,0.6965251704448375,0.7227191413237924,0.7863077245035364,0.7824519230769231,0.7835993856524801,0.8346153846153846,0.48660772712394507,0.46449704142011833,0.7849512189208927,0.8076923076923078,0.7068125898247195,0.6976744186046512,601349.0577999994,163426.66429999992,154900.41799999995,166069.94329999998
