check,roc_auc_weighted,pr_auc_weighted
weighted_xgboost_refit,0.714805239870492,0.8428991934955521
unweighted_xgboost_refit,0.7241462829414113,0.8423665617692327
weighted_logistic_baseline,0.7016539275703624,0.8300304950743715
ablation_without_APR_70,0.720085570396475,0.8397365662793002
