PUMFID,WGHT_PER,PRV,HAP_10C,TTLINCG1,PRA_10GR,predicted_probability,predicted_label,risk_band
15807.0,1605.1058,Ontario,40 to 49 hours,"$40,000 to $59,999",Missing,0.95023346,1,Very high
12408.0,3329.7975,Alberta,50 hours or more,"$120,000 or more",Missing,0.9495411,1,Very high
17291.0,1369.8697,Ontario,50 hours or more,"$20,000 to $39,999",Missing,0.9494846,1,Very high
8570.0,187.0297,Nova Scotia,20 to 29 hours,"$60,000 to $79,999",Missing,0.9494696,1,Very high
17045.0,1783.9387,Saskatchewan,20 to 29 hours,"Less than $20,000",Other,0.94915843,1,Very high
11294.0,643.6025,British Columbia,40 to 49 hours,"$20,000 to $39,999",Missing,0.94895786,1,Very high
14891.0,834.6051,Quebec,30 to 39 hours,"$80,000 to $99,999",Missing,0.94875896,1,Very high
6036.0,1409.1776,Alberta,40 to 49 hours,"$80,000 to $99,999",Missing,0.9481665,1,Very high
5853.0,201.6549,Saskatchewan,50 hours or more,"$40,000 to $59,999",Other,0.9479348,1,Very high
6761.0,1097.8575,Quebec,50 hours or more,"Less than $20,000",Missing,0.94793373,1,Very high
4873.0,239.4485,New Brunswick,30 to 39 hours,"$40,000 to $59,999",Missing,0.9476581,1,Very high
13953.0,70.5902,New Brunswick,50 hours or more,"Less than $20,000",Missing,0.9476369,1,Very high
2032.0,1228.5482,British Columbia,10 to 19 hours,"$60,000 to $79,999",Missing,0.9475546,1,Very high
4962.0,1183.7647,Alberta,50 hours or more,"$40,000 to $59,999",Missing,0.9472713,1,Very high
18332.0,3555.1387,Ontario,50 hours or more,"$40,000 to $59,999",Missing,0.94723684,1,Very high
19270.0,497.8521,Alberta,20 to 29 hours,"$40,000 to $59,999",Missing,0.94712657,1,Very high
6118.0,298.6895,Alberta,50 hours or more,"$20,000 to $39,999",Missing,0.9470365,1,Very high
6103.0,425.3854,Saskatchewan,50 hours or more,"$20,000 to $39,999",Missing,0.94686997,1,Very high
11185.0,207.7709,Saskatchewan,50 hours or more,"$20,000 to $39,999",Missing,0.9466129,1,Very high
11681.0,2146.7794,Alberta,30 to 39 hours,"Less than $20,000",Arthritis,0.94659454,1,Very high
1361.0,3870.0232,Alberta,50 hours or more,"Less than $20,000",Missing,0.9464319,1,Very high
6730.0,876.4718,Manitoba,50 hours or more,"Less than $20,000",Missing,0.9462681,1,Very high
14914.0,3172.7379,Quebec,20 to 29 hours,"$60,000 to $79,999",Missing,0.9457576,1,Very high
3972.0,4469.0257,Ontario,30 to 39 hours,"$40,000 to $59,999",Missing,0.9456285,1,Very high
19169.0,888.4002,Alberta,20 to 29 hours,"$60,000 to $79,999",Other,0.94539946,1,Very high
3783.0,538.7021,Manitoba,50 hours or more,"$20,000 to $39,999",Missing,0.9452402,1,Very high
19682.0,1217.2274,Ontario,50 hours or more,"$20,000 to $39,999",Missing,0.9448135,1,Very high
14571.0,295.025,Alberta,50 hours or more,"$100,000 to $119,999",Missing,0.94479597,1,Very high
9524.0,279.4413,Newfoundland and Labrador,20 to 29 hours,"$100,000 to $119,999",Missing,0.94473255,1,Very high
9945.0,748.831,Nova Scotia,50 hours or more,"$40,000 to $59,999",Other,0.9445233,1,Very high
3970.0,969.5506,Alberta,50 hours or more,"$40,000 to $59,999",Missing,0.9445184,1,Very high
19934.0,1276.4318,Alberta,Less than 10 hours,"$80,000 to $99,999",Missing,0.944456,1,Very high
5174.0,1537.7602,Alberta,10 to 19 hours,"$120,000 or more",Missing,0.9436111,1,Very high
17763.0,3503.2104,Ontario,20 to 29 hours,"$20,000 to $39,999",Cardiovascular disease,0.94345516,1,Very high
13392.0,2567.3165,Ontario,10 to 19 hours,"$20,000 to $39,999",Missing,0.9433406,1,Very high
14268.0,1150.3809,British Columbia,30 to 39 hours,"$100,000 to $119,999",Missing,0.94331354,1,Very high
53.0,151.1451,Nova Scotia,50 hours or more,"$20,000 to $39,999",Missing,0.943256,1,Very high
4824.0,467.3124,Manitoba,50 hours or more,"$100,000 to $119,999",Missing,0.9428146,1,Very high
7857.0,283.3761,Saskatchewan,20 to 29 hours,"$40,000 to $59,999",Other,0.9421314,1,Very high
8842.0,683.8334,Quebec,Less than 10 hours,"$40,000 to $59,999",Injury from an accident,0.9416471,1,Very high
