threshold,precision,recall,specificity,f1,weighted_accuracy,positive_rate,weighted_brier,log_loss,selected_mode
0.2,0.6991135047389516,0.9987095644947148,0.05196941902419301,0.822478332993035,0.7033707589581878,0.9829000833716334,0.17411237791221135,0.5243663257761263,
0.225,0.6991135047389516,0.9987095644947148,0.05196941902419301,0.822478332993035,0.7033707589581878,0.9829000833716334,0.17411237791221135,0.5243663257761263,
0.25,0.7038683842963946,0.9987095644947148,0.07325412784377429,0.8257596523452889,0.7100105962029091,0.9762602461269123,0.17411237791221135,0.5243663257761263,
0.275,0.7104633124492322,0.995553937845658,0.10514045840810907,0.8291880381414004,0.7177864271840996,0.9641419787604869,0.17411237791221135,0.5243663257761263,
0.3,0.7141363917290182,0.9951824291826749,0.12136491866005208,0.8315546291236334,0.7225920874195786,0.9588250879787544,0.17411237791221135,0.5243663257761263,
0.325,0.7137155640103805,0.987494888080849,0.1263538647362521,0.8285752890097992,0.7188590195694353,0.9519793827653804,0.17411237791221135,0.5243663257761263,
0.35,0.7237252009633993,0.9846707644381497,0.17093848968699296,0.8342691756571597,0.7308242161520967,0.9361279288315443,0.17411237791221135,0.5243663257761263,
0.375,0.7272694306080136,0.9819721783684838,0.18779473052099324,0.8356435313584482,0.7342258247850988,0.9290128142484296,0.17411237791221135,0.5243663257761263,
0.4,0.7272174802463156,0.9788918907738862,0.1901304106995709,0.8344919808001078,0.7328350667415681,0.9261648094675409,0.17411237791221135,0.5243663257761263,
0.425,0.7408428854499307,0.973088377186398,0.24921179693302184,0.841230470402508,0.7472726181412941,0.9037410824623933,0.17411237791221135,0.5243663257761263,
0.44999999999999996,0.7413559526131761,0.9644904507882387,0.2578327701324764,0.8383295653168693,0.7440461859848679,0.8951359665362537,0.17411237791221135,0.5243663257761263,
0.475,0.7511149990029365,0.9624333119958026,0.2966182915510523,0.8437440503311869,0.7547300538343967,0.8816212839753513,0.17411237791221135,0.5243663257761263,
0.5,0.7498585004707212,0.9320127546441397,0.314264837849487,0.8310715632859923,0.7393041928052023,0.8551856227796402,0.17411237791221135,0.5243663257761263,
0.5249999999999999,0.7616804873588156,0.9273628227733195,0.36002267480273153,0.8363955649582133,0.7503791357117814,0.8377119402278786,0.17411237791221135,0.5243663257761263,
0.55,0.7739810424751471,0.9101547794537573,0.41378364391065314,0.8365626285515761,0.7553101169817206,0.8091010874966228,0.17411237791221135,0.5243663257761263,
0.575,0.7810398305611561,0.8837070952637305,0.4535777014843263,0.8292076462114196,0.749526769233693,0.7784899567767021,0.17411237791221135,0.5243663257761263,high_recall
0.6,0.7907956941980396,0.8399769607315606,0.5098806706557486,0.8146447167410338,0.7370023013285021,0.730837683754546,0.17411237791221135,0.5243663257761263,
0.625,0.8013310502700565,0.8136388723993293,0.5550841810393725,0.8074380618589072,0.7329818578241587,0.6986144629060087,0.17411237791221135,0.5243663257761263,
0.6499999999999999,0.8147496255572875,0.7832664028511804,0.6071990252001104,0.7986978817354909,0.7283415860910628,0.6614593857137968,0.17411237791221135,0.5243663257761263,balanced
0.675,0.817316259148107,0.7336528176531295,0.6383166797250114,0.7732280229266865,0.7039123854607644,0.617615668941025,0.17411237791221135,0.5243663257761263,
0.7,0.8198301087162256,0.6726994500134332,0.6739324662857565,0.7390128523916905,0.6730840936295484,0.5645664458195938,0.17411237791221135,0.5243663257761263,
0.7249999999999999,0.8147284776382602,0.635010902023516,0.681503188962496,0.7137303059395652,0.6495143289215014,0.536273255780755,0.17411237791221135,0.5243663257761263,
0.75,0.8173393527203195,0.5878053016571847,0.7102628291928822,0.683824833671512,0.6260063434999544,0.49482193536081487,0.17411237791221135,0.5243663257761263,
0.7749999999999999,0.8410106544709863,0.5454264583252844,0.77257884606475,0.6617097284084956,0.616287417576571,0.44622362299378443,0.17411237791221135,0.5243663257761263,
0.8,0.8662059078704462,0.47570925013554943,0.8379363837958264,0.6141404103495367,0.5887072353799357,0.3778664288184053,0.17411237791221135,0.5243663257761263,high_precision
0.825,0.8756070200443616,0.3882001356688289,0.878361668762222,0.5379155552921079,0.5411076915555705,0.3050452749618271,0.17411237791221135,0.5243663257761263,
0.8499999999999999,0.9052392045482246,0.30265101618347395,0.9301227808676407,0.45363653160413403,0.49839296541455647,0.23003643919507405,0.17411237791221135,0.5243663257761263,
0.875,0.9071125993853155,0.23199806323800853,0.9476027971614518,0.3694959113305725,0.45523339171158556,0.17597096452725602,0.17411237791221135,0.5243663257761263,
0.9,0.9052519511628052,0.14451373703819373,0.9666390759918535,0.24923912811028173,0.40097853022303753,0.10983923930048141,0.17411237791221135,0.5243663257761263,
