PUMFID,WGHT_PER,PRV,HAP_10C,TTLINCG1,PRA_10GR,AGEGR10,predicted_probability_raw,predicted_probability,predicted_label,risk_band
6807.0,674.4553,59,6.0,1.0,,7.0,0.80267686,0.80267686,1,Very high
6808.0,4113.0301,59,1.0,1.0,,1.0,0.32765582,0.32765582,0,Moderate
6809.0,1178.0377,48,1.0,7.0,,5.0,0.7104258,0.7104258,1,Very high
6816.0,174.1253,10,2.0,5.0,,4.0,0.9050548,0.9050548,1,Very high
6817.0,1178.3516,48,6.0,2.0,,2.0,0.8117461,0.8117461,1,Very high
6819.0,627.2845,48,6.0,7.0,,5.0,0.7575898,0.7575898,1,Very high
6822.0,267.1686,13,1.0,3.0,,4.0,0.8079636,0.8079636,1,Very high
6832.0,1238.4343,35,1.0,3.0,,5.0,0.73127365,0.73127365,1,Very high
6835.0,41.3262,11,5.0,2.0,,5.0,0.8548768,0.8548768,1,Very high
6843.0,76.0971,46,2.0,7.0,,4.0,0.7803466,0.7803466,1,Very high
6845.0,2137.5394,35,1.0,3.0,,2.0,0.55133575,0.55133575,0,High
6850.0,736.9897,24,1.0,2.0,2,7.0,0.46633574,0.46633574,0,Moderate
6852.0,1137.9153,47,1.0,1.0,,5.0,0.7796056,0.7796056,1,Very high
6854.0,141.4646,12,3.0,2.0,,7.0,0.73282266,0.73282266,1,Very high
6855.0,4054.6174,46,1.0,2.0,,1.0,0.3335711,0.3335711,0,Moderate
6863.0,261.63,10,1.0,1.0,,2.0,0.4595742,0.4595742,0,Moderate
6870.0,2088.5659,48,1.0,2.0,,2.0,0.82130796,0.82130796,1,Very high
6874.0,5058.2312,35,1.0,1.0,,4.0,0.82173395,0.82173395,1,Very high
6875.0,581.5581,48,1.0,3.0,,4.0,0.45308217,0.45308217,0,Moderate
6876.0,237.6426,59,1.0,5.0,9,6.0,0.48874775,0.48874775,0,Moderate
6882.0,405.555,12,2.0,1.0,,4.0,0.7529739,0.7529739,1,Very high
6886.0,807.9445,13,1.0,5.0,,4.0,0.7417509,0.7417509,1,Very high
6888.0,119.2342,46,1.0,3.0,,3.0,0.7456653,0.7456653,1,Very high
6889.0,1510.8237,24,1.0,5.0,,3.0,0.7800383,0.7800383,1,Very high
6890.0,384.1025,46,1.0,3.0,,6.0,0.35892403,0.35892403,0,Moderate
6893.0,245.0056,47,1.0,7.0,,5.0,0.38593858,0.38593858,0,Moderate
6897.0,1281.406,24,2.0,2.0,,5.0,0.80646557,0.80646557,1,Very high
6898.0,324.0378,46,2.0,2.0,9,6.0,0.76824516,0.76824516,1,Very high
6901.0,612.581,48,1.0,7.0,,5.0,0.6426385,0.6426385,0,High
6903.0,65.8597,10,1.0,2.0,,5.0,0.84080374,0.84080374,1,Very high
6905.0,591.9934,59,1.0,5.0,,6.0,0.87007654,0.87007654,1,Very high
6912.0,265.1886,47,1.0,3.0,,5.0,0.56463933,0.56463933,0,High
6913.0,806.7252,59,2.0,3.0,,4.0,0.8932244,0.8932244,1,Very high
6917.0,106.5208,46,1.0,1.0,,6.0,0.6788225,0.6788225,1,High
6918.0,343.5021,47,5.0,3.0,,3.0,0.8715331,0.8715331,1,Very high
6919.0,6945.3395,48,3.0,3.0,,2.0,0.9024852,0.9024852,1,Very high
6923.0,258.4648,12,6.0,1.0,9,6.0,0.89742064,0.89742064,1,Very high
